EDMD,SINDy,HANDI,PSE,gEDMD,SR3
1.00000000,0.62311558,1.00000000,1.00000000,0.50251256,0.56783920
1.00000000,0.46231156,1.00000000,1.00000000,0.34673367,0.40201005
1.00000000,0.44723618,1.00000000,1.00000000,0.31155779,0.45226131
1.00000000,0.52261307,1.00000000,1.00000000,0.47236181,0.52261307
1.00000000,0.46733668,1.00000000,1.00000000,0.42713568,0.46231156
1.00000000,0.46231156,1.00000000,1.00000000,0.42713568,0.46733668
1.00000000,0.46231156,1.00000000,1.00000000,0.42713568,0.46733668
1.00000000,0.46733668,1.00000000,1.00000000,0.43216080,0.46733668
1.00000000,0.62814070,1.00000000,1.00000000,0.42713568,0.59798995
1.00000000,0.60804020,1.00000000,1.00000000,0.44723618,0.54773869
1.00000000,0.52261307,1.00000000,1.00000000,0.39698492,0.46733668
1.00000000,0.41206030,1.00000000,1.00000000,0.31155779,0.38693467
1.00000000,0.46231156,1.00000000,1.00000000,0.30653266,0.46733668
1.00000000,0.52261307,1.00000000,1.00000000,0.46733668,0.51758794
1.00000000,0.51758794,1.00000000,1.00000000,0.46733668,0.52261307
