time,x,y,x1,y1,theta_left,theta_right,theta
2.48,48.0,169.0,91.0,170.0,0.0,-0.7990831790321913,-0.4378237807823959
2.5,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
2.52,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
2.54,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
2.56,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
2.58,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
2.6,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
2.62,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
2.64,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
2.66,47.0,169.0,91.0,171.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
2.68,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
2.7,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
2.72,48.0,169.0,92.0,170.0,0.0,0.0,0.0
2.74,48.0,169.0,92.0,170.0,0.0,0.0,0.0
2.76,48.0,169.0,92.0,170.0,0.0,0.0,0.0
2.78,48.0,169.0,92.0,170.0,0.0,0.0,0.0
2.8,48.0,169.0,92.0,170.0,0.0,0.0,0.0
2.82,48.0,169.0,92.0,170.0,0.0,0.0,0.0
2.84,48.0,169.0,92.0,170.0,0.0,0.0,0.0
2.86,48.0,169.0,92.0,170.0,0.0,0.0,0.0
2.88,48.0,169.0,92.0,170.0,0.0,0.0,0.0
2.9,48.0,169.0,92.0,170.0,0.0,0.0,0.0
2.92,48.0,169.0,92.0,170.0,0.0,0.0,0.0
2.94,48.0,169.0,92.0,170.0,0.0,0.0,0.0
2.96,48.0,169.0,92.0,170.0,0.0,0.0,0.0
2.98,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
3.0,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
3.02,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
3.04,47.0,169.0,91.0,171.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
3.06,47.0,169.0,91.0,171.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
3.08,47.0,169.0,91.0,171.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
3.1,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
3.12,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
3.14,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
3.16,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
3.18,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
3.2,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
3.22,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
3.24,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
3.26,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
3.28,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
3.3,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
3.32,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
3.34,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
3.36,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
3.38,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
3.4,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
3.42,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
3.44,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
3.46,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
3.48,47.0,170.0,91.0,171.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
3.5,47.0,170.0,91.0,171.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
3.52,47.0,170.0,91.0,171.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
3.54,47.0,170.0,91.0,171.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
3.56,47.0,170.0,91.0,171.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
3.58,47.0,170.0,91.0,171.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
3.6,47.0,170.0,91.0,171.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
3.62,47.0,170.0,91.0,171.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
3.64,47.0,170.0,91.0,171.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
3.66,47.0,170.0,91.0,171.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
