epoch,step,train/align,train/loss,train/main,train/rollout_avg,train/step1,val/loss,val/rollout_avg,val/step1
21,241,,,,,,6.283402763074264e-05,5.199245424591936e-05,4.723629172076471e-05
21,241,0.00036922559957019985,0.0003703127149492502,1.0871128779399442e-06,,,,,
22,252,,,,,,6.314558413578197e-05,5.256649092189036e-05,4.737564086099155e-05
22,252,9.522409527562559e-05,9.629192936699837e-05,1.0678406852093758e-06,,,,,
23,263,,,,,,6.32932351436466e-05,5.2838186093140393e-05,4.7441786591662094e-05
23,263,0.027274927124381065,0.02727597951889038,1.055946881933778e-06,,,,,
24,274,,,,,,6.33226300124079e-05,5.289215187076479e-05,4.745498881675303e-05
24,274,0.00016758928541094065,0.00016868271632120013,1.0934270449070027e-06,,,,,
25,285,,,,,,6.330894393613562e-05,5.286755185807124e-05,4.744866964756511e-05
25,285,0.00020180757564958185,0.00020288860832806677,1.081037453332101e-06,,,,,
26,296,,,,,,6.326955190161243e-05,5.2795228839386255e-05,4.743098179460503e-05
26,296,0.0009018322452902794,0.0009028954082168639,1.063073568730033e-06,,,,,
27,307,,,,,,6.311754259513691e-05,5.2514362323563546e-05,4.736322443932295e-05
27,307,0.00176150887273252,0.0017625590553507209,1.0503706562303705e-06,,,,,
28,318,,,,,,6.35018150205724e-05,5.322335709934123e-05,4.753479879582301e-05
28,318,0.0006032338133081794,0.0006042860331945121,1.0521740705371485e-06,,,,,
29,329,,,,,,6.330307223834097e-05,5.2856496040476486e-05,4.744612306240015e-05
29,329,0.00022347118647303432,0.00022452222765423357,1.0510420906939544e-06,,,,,
30,340,,,,,,6.321245018625632e-05,5.26894727954641e-05,4.740560689242557e-05
30,340,0.004330243915319443,0.004331287462264299,1.0433745956106577e-06,,,,,
31,351,,,,,,6.315329665085301e-05,5.25803079653997e-05,4.73792060802225e-05
31,351,0.00017737620510160923,0.00017842293891590089,1.0467437050465378e-06,,,,,
32,362,,,,,,6.324525747913867e-05,5.2749732276424766e-05,4.7420333430636674e-05
32,362,0.0070287492126226425,0.007029795553535223,1.0470680535945576e-06,,,,,
33,373,,,,,,6.330070755211636e-05,5.285218867356889e-05,4.744505349663086e-05
33,373,0.000729243503883481,0.000730290834326297,1.04734886008373e-06,,,,,
34,384,,,,,,6.340952677419409e-05,5.305307422531769e-05,4.7493609599769115e-05
34,384,0.0003192421863786876,0.0003202971420250833,1.0549706530582625e-06,,,,,
35,395,,,,,,6.356483936542645e-05,5.333876106305979e-05,4.75632150482852e-05
35,395,0.024965204298496246,0.02496625855565071,1.054158587976417e-06,,,,,
36,406,,,,,,6.364486034726724e-05,5.348623380996287e-05,4.759899093187414e-05
36,406,0.000577476981561631,0.0005785304820165038,1.0535128467381583e-06,,,,,
37,417,,,,,,6.349087925627828e-05,5.3202722483547404e-05,4.7530062147416174e-05
