epoch,step,train/loss,train/rollout_avg,train/step1,val/loss,val/rollout_avg,val/step1
16,186,2.5854861736297607,7.380974292755127,0.37119367718696594,,,
17,197,,,,0.6208956837654114,1.721267580986023,0.10451536625623703
17,197,0.7679292559623718,2.069674015045166,0.14702706038951874,,,
18,208,,,,3.9746181964874268,5.332756996154785,2.374790668487549
18,208,1.7626312971115112,3.1539812088012695,0.816436767578125,,,
19,219,,,,1.9470309019088745,2.2115962505340576,1.2835519313812256
19,219,3.32501220703125,2.396223783493042,2.606144666671753,,,
20,230,,,,4.177475929260254,12.017702102661133,0.5721651315689087
20,230,1.875629186630249,5.257136821746826,0.298488050699234,,,
21,241,,,,17.73427391052246,58.41176986694336,0.2107418179512024
21,241,25.66632843017578,74.39188385009766,3.3487629890441895,,,
22,252,,,,3.39701771736145,11.270968437194824,0.015726950019598007
22,252,106.20650482177734,352.7969970703125,0.3673977255821228,,,
23,263,,,,20.428194046020508,64.97322845458984,0.9362263679504395
23,263,130.2283935546875,431.9358825683594,0.6476072669029236,,,
24,274,,,,37.061439514160156,122.57192993164062,0.28985536098480225
24,274,452.8627624511719,1508.3272705078125,0.3645506799221039,,,
25,285,,,,66.31995391845703,220.82798767089844,0.07155846059322357
25,285,518.4205932617188,1727.614990234375,0.1360473781824112,,,
26,296,,,,126.7457504272461,422.0582580566406,0.12825866043567657
26,296,1347.8114013671875,4491.6142578125,0.3269945979118347,,,
27,307,,,,158.745361328125,528.9917602539062,0.04781331121921539
27,307,1241.01904296875,4136.22265625,0.15211261808872223,,,
28,318,,,,406.2193298339844,1353.3306884765625,0.22008797526359558
28,318,4312.56884765625,14373.904296875,0.3977968394756317,,,
29,329,,,,451.6632995605469,1505.4814453125,0.01886931248009205
29,329,3963.265380859375,13210.1982421875,0.20630675554275513,,,
30,340,,,,626.3516845703125,2087.528076171875,0.09324207901954651
30,340,7412.169921875,24706.08203125,0.3447147607803345,,,
31,351,,,,840.84765625,2802.750244140625,0.022570069879293442
31,351,6133.7587890625,20445.162109375,0.20889487862586975,,,
32,362,,,,1253.7379150390625,4178.748046875,0.11326203495264053
32,362,15327.2431640625,51089.54296875,0.3797304034233093,,,
33,373,,,,1384.941650390625,4616.390625,0.024290377274155617
33,373,10713.25,35710.16796875,0.19865646958351135,,,
34,384,,,,2238.097412109375,7459.9580078125,0.10987664014101028
34,384,29508.654296875,98360.8359375,0.4009476602077484,,,
35,395,,,,2216.612548828125,7388.609375,0.02955455519258976
35,395,17243.125,57476.5078125,0.17395514249801636,,,
36,406,,,,2915.577392578125,9718.3369140625,0.07620112597942352
36,406,38839.19921875,129462.8671875,0.33272475004196167,,,
37,417,,,,2317.973876953125,7726.44140625,0.041688527911901474
37,417,19517.41796875,65057.6328125,0.12536278367042542,,,
38,428,,,,3297.541748046875,10991.720703125,0.02515493333339691
38,428,34798.19140625,115993.3515625,0.1804272085428238,,,
39,439,,,,3100.2802734375,10334.1796875,0.02636459842324257
39,439,27566.529296875,91888.140625,0.0832049623131752,,,
40,450,,,,3665.646728515625,12218.681640625,0.04207978770136833
40,450,49050.18359375,163500.0625,0.1576044261455536,,,
41,461,,,,4535.82421875,15119.365234375,0.014512848109006882
41,461,31744.51953125,105814.765625,0.0897645428776741,,,
42,472,,,,9107.666015625,30358.66796875,0.06514254212379456
42,472,102337.453125,341124.3125,0.16487014293670654,,,
43,483,,,,8513.2841796875,28377.55078125,0.01861749030649662
43,483,86061.84375,286872.59375,0.06989660859107971,,,
44,494,,,,19880.140625,66266.9921875,0.043483126908540726
44,494,233328.359375,777760.8125,0.1352245807647705,,,
45,505,,,,20912.7421875,69709.109375,0.00869609322398901
45,505,152316.71875,507721.96875,0.11415417492389679,,,
46,516,,,,16335.0517578125,54449.70703125,0.13834701478481293
46,516,305604.71875,1018681.4375,0.2517714500427246,,,
47,527,,,,35713.23828125,119044.09375,0.007559967692941427
47,527,231033.59375,770111.375,0.1687716692686081,,,
48,538,,,,56816.87890625,189388.921875,0.19892776012420654
48,538,795974.3125,2653246.25,0.37765124440193176,,,
49,549,,,,77383.2265625,257944.0625,0.009603283368051052
49,549,614712.875,2049042.125,0.2257719784975052,,,
50,560,,,,69082.21875,230273.921875,0.04464906454086304
50,560,989474.75,3298247.25,0.32800185680389404,,,
51,571,,,,67117.8984375,223726.171875,0.043695252388715744
51,571,537374.125,1791246.625,0.12138067930936813,,,
