epoch,step,train/align,train/loss,train/main,train/rollout_avg,train/step1,val/loss,val/rollout_avg,val/step1
24,274,0.037038251757621765,0.03704414516687393,5.8912446547765285e-06,,,,,
25,285,,,,,,0.00019905794761143625,0.00016786777996458113,0.0001486976252635941
25,285,0.07860935479402542,0.07861605286598206,6.690770987916039e-06,,,,,
26,296,,,,,,0.00020208493515383452,0.00017039646627381444,0.00015096599236130714
26,296,0.03370428457856178,0.03371001034975052,5.729121767217293e-06,,,,,
27,307,,,,,,0.0002023051492869854,0.00017053743067663163,0.00015114390407688916
27,307,0.04779522866010666,0.04780040308833122,5.176899321668316e-06,,,,,
28,318,,,,,,0.00020403944654390216,0.00017200052388943732,0.00015243930101860315
28,318,0.029990537092089653,0.029995335265994072,4.796379926119698e-06,,,,,
29,329,,,,,,0.0002038848033407703,0.0001718844287097454,0.00015231946599669755
29,329,0.03470342233777046,0.03470807895064354,4.657176759792492e-06,,,,,
30,340,,,,,,0.00020217179553583264,0.00017044227570295334,0.00015103910118341446
30,340,0.02844121679663658,0.028446001932024956,4.785397322848439e-06,,,,,
31,351,,,,,,0.00020606628095265478,0.00017365903477184474,0.00015396856178995222
31,351,0.018766622990369797,0.018771277740597725,4.6537375055777375e-06,,,,,
32,362,,,,,,0.00020728394156321883,0.00017472932813689113,0.00015486514894291759
32,362,0.028514156118035316,0.02851872332394123,4.569836619339185e-06,,,,,
33,373,,,,,,0.00020653488172683865,0.0001740859734127298,0.00015430910571012646
33,373,0.020989399403333664,0.020993763580918312,4.365165750641609e-06,,,,,
34,384,,,,,,0.00020664076146204025,0.00017416039190720767,0.00015439264825545251
34,384,0.020267535001039505,0.020272186025977135,4.651945346267894e-06,,,,,
35,395,,,,,,0.0002074996882583946,0.0001749190123518929,0.0001550239830976352
35,395,0.01902848668396473,0.019032858312129974,4.370756869320758e-06,,,,,
36,406,,,,,,0.00020719072199426591,0.00017461094830650836,0.00015480743604712188
36,406,0.021131351590156555,0.02113596349954605,4.613653345586499e-06,,,,,
37,417,,,,,,0.00020754394063260406,0.00017493513587396592,0.00015506340423598886
37,417,0.02237829566001892,0.02238299697637558,4.7007320063130464e-06,,,,,
38,428,,,,,,0.00021074299002066255,0.00017773720901459455,0.0001574218476889655
38,428,0.018913479521870613,0.018917877227067947,4.3986865421175025e-06,,,,,
39,439,,,,,,0.00021213993022684008,0.0001788818190107122,0.0001584753772476688
39,439,0.049535106867551804,0.049539338797330856,4.2377532736281864e-06,,,,,
40,450,,,,,,0.00021027929324191064,0.00017737138841766864,0.00015706787235103548
